iter	Passed	Remaining
213	22633	83128
214	22696	82870
215	22780	82683
216	22851	82453
217	22933	82266
218	23010	82058
219	23093	81875
220	23172	81680
221	23259	81513
222	23344	81339
223	23412	81108
224	23505	80963
225	23525	80568
226	23610	80400
227	23708	80276
228	23793	80106
229	23877	79936
230	23970	79798
231	24046	79601
232	24125	79417
233	24201	79222
234	24283	79051
235	24304	78679
236	24385	78505
237	24404	78135
238	24494	77992
239	24574	77819
240	24653	77643
241	24732	77466
242	24822	77327
243	24896	77138
244	24972	76957
245	25049	76776
246	25130	76611
247	25212	76450
248	25257	76178
249	25338	76016
250	25420	75854
251	25534	75793
252	25618	75639
253	25701	75484
254	25721	75146
255	25802	74988
256	25882	74827
257	25973	74700
258	26059	74555
259	26141	74402
260	26217	74233
261	26305	74096
262	26393	73962
263	26473	73805
264	26549	73636
265	26622	73462
266	26705	73315
267	26785	73161
268	26870	73020
269	26954	72876
270	27033	72722
271	27066	72442
272	27146	72290
273	27240	72176
274	27306	71989
275	27379	71821
276	27479	71724
277	27613	71714
278	27756	71728
279	27795	71473
280	27937	71483
281	28107	71564
282	28272	71629
283	28422	71656
284	28609	71774
285	28765	71814
286	28921	71851
287	29062	71849
288	29100	71593
289	29251	71615
290	29388	71603
291	29551	71652
292	29718	71710
293	29891	71779
294	30025	71756
295	30160	71733
296	30309	71741
297	30462	71761
298	30616	71780
299	30780	71822
300	30924	71814
301	31058	71785
302	31146	71646
303	31222	71482
304	31304	71332
305	31383	71175
306	31454	71003
307	31535	70853
308	31612	70692
309	31701	70561
310	31733	70302
311	31837	70205
312	31915	70050
313	31992	69893
314	32068	69737
315	32151	69593
316	32235	69454
317	32284	69239
318	32377	69119
319	32465	68990
320	32547	68846
321	32629	68704
322	32707	68554
323	32794	68422
324	32890	68311
325	32974	68175
326	32994	67905
327	33076	67765
328	33156	67622
329	33242	67492
330	33325	67355
331	33407	67217
332	33489	67078
333	33571	66942
334	33651	66799
335	33733	66663
336	33827	66551
337	33920	66435
338	34002	66299
339	34089	66173
340	34163	66022
341	34244	65886
342	34323	65745
343	34411	65622
344	34496	65494
345	34581	65364
346	34663	65230
347	34733	65075
348	34815	64941
349	34915	64842
350	34991	64699
351	35075	64570
352	35157	64438
353	35237	64304
354	35316	64166
355	35400	64038
356	35483	63909
357	35560	63771
358	35645	63645
359	35733	63525
360	35824	63412
361	35925	63315
362	36013	63197
363	36094	63066
364	36174	62933
365	36257	62806
366	36336	62672
367	36412	62535
368	36498	62414
369	36587	62297
370	36662	62157
371	36733	62011
372	36821	61896
373	36918	61793
374	36998	61664
375	37083	61542
376	37168	61422
377	37248	61293
378	37334	61174
379	37415	61046
380	37497	60920
381	37584	60804
382	37671	60687
383	37755	60565
384	37827	60425
385	37914	60308
386	38014	60214
387	38096	60090
388	38175	59961
389	38261	59844
390	38348	59728
391	38431	59607
392	38514	59487
393	38603	59375
394	38882	59553
395	39145	59706
396	39223	59576
397	39315	59466
398	39400	59347
399	39481	59222
400	39551	59080
401	39641	58969
402	39818	58987
403	40059	59098
404	40204	59065
405	40294	58952
406	40377	58830
407	40460	58707
408	40552	58597
409	40637	58477
410	40729	58369
411	41109	58670
412	41313	58719
413	41479	58712
414	41641	58699
415	41822	58711
416	41987	58701
417	42135	58666
418	42297	58651
419	42450	58621
420	42604	58593
421	42768	58578
422	42919	58545
423	43069	58509
424	43247	58510
425	43311	58358
426	43480	58347
427	43642	58326
428	43798	58295
429	43965	58279
430	44098	58218
431	44255	58188
432	44430	58180
433	44556	58107
434	44630	57968
435	44694	57815
436	44779	57690
437	44853	57551
438	44936	57424
439	45009	57284
440	45094	57160
441	45182	57040
442	45270	56920
443	45355	56796
444	45448	56683
445	45527	56552
446	45612	56428
447	45702	56312
448	45790	56192
449	45878	56074
450	45957	55944
451	46046	55825
452	46132	55705
453	46215	55580
454	46299	55458
455	46388	55340
456	46474	55220
457	46555	55094
458	46639	54971
459	46720	54845
460	46809	54729
461	46894	54609
462	46980	54488
463	47050	54351
464	47128	54222
465	47174	54058
466	47279	53961
467	47359	53836
468	47443	53715
469	47528	53595
470	47608	53470
471	47682	53339
472	47766	53220
473	47855	53105
474	47900	52942
475	47980	52818
476	48053	52687
477	48138	52569
478	48205	52431
479	48302	52327
480	48374	52196
481	48442	52060
482	48522	51938
483	48599	51812
484	48669	51680
485	48755	51564
486	48841	51449
487	48926	51332
488	49000	51205
489	49080	51083
490	49157	50959
491	49241	50842
492	49325	50726
493	49402	50602
494	49492	50492
495	49562	50361
496	49646	50245
497	49740	50139
498	49805	50004
499	49879	49879
500	49963	49764
501	50039	49641
502	50106	49508
503	50152	49356
504	50233	49238
505	50330	49137
506	50396	49005
507	50487	48896
508	50566	48777
509	50648	48661
510	50734	48550
511	50827	48445
512	50909	48329
513	50983	48206
514	51029	48057
515	51111	47941
516	51154	47790
517	51238	47677
518	51306	47550
519	51400	47446
520	51485	47335
521	51554	47208
522	51623	47083
523	51710	46973
524	51755	46826
525	51845	46720
526	51889	46572
527	51963	46452
528	52055	46347
529	52127	46226
530	52191	46097
531	52269	45981
532	52377	45891
533	52444	45766
534	52519	45648
535	52610	45543
536	52656	45400
537	52740	45290
538	52813	45171
539	52886	45051
540	52958	44931
541	53031	44812
542	53115	44703
543	53195	44590
544	53273	44476
545	53364	44373
546	53455	44269
547	53535	44156
548	53621	44050
549	53704	43939
550	53779	43823
551	53867	43718
552	53957	43614
553	54040	43505
554	54111	43387
555	54186	43271
556	54264	43158
557	54332	43037
558	54427	42938
559	54532	42847
560	54674	42784
561	54800	42709
562	54935	42640
563	55078	42578
564	55219	42514
565	55377	42462
566	55505	42387
567	55638	42316
568	55768	42242
569	55924	42188
570	56037	42101
571	56181	42038
572	56311	41963
573	56447	41893
574	56579	41819
575	56707	41742
576	56857	41682
577	56998	41614
578	57129	41540
579	57273	41473
580	57434	41419
581	57583	41357
582	57728	41291
583	57870	41222
584	58029	41166
585	58101	41047
586	58183	40936
587	58268	40827
588	58356	40720
589	58429	40603
590	58514	40494
591	58609	40392
592	58703	40290
593	58783	40178
594	58866	40069
595	58955	39963
596	59022	39842
597	59111	39737
598	59190	39624
599	59280	39520
600	59362	39410
601	59452	39305
602	59532	39194
603	59635	39099
604	59721	38991
605	59795	38876
606	59869	38761
607	59942	38647
608	60021	38536
609	60098	38423
610	60192	38322
611	60279	38216
612	60360	38106
613	60454	38005
614	60534	37895
615	60636	37799
616	60720	37692
617	60807	37586
618	60888	37477
619	60968	37367
620	61049	37258
621	61133	37151
622	61219	37046
623	61306	36941
624	61379	36827
625	61458	36717
626	61532	36605
627	61609	36494
628	61688	36385
629	61758	36270
630	61846	36166
631	61924	36057
632	62017	35956
633	62101	35850
634	62179	35740
635	62250	35627
636	62320	35513
637	62404	35408
638	62473	35293
639	62556	35187
640	62629	35076
641	62728	34979
642	62812	34874
643	62905	34774
644	62974	34660
645	63059	34555
646	63153	34456
647	63220	34341
648	63298	34233
649	63332	34102
650	63409	33993
651	63503	33894
652	63584	33788
653	63678	33689
654	63745	33576
655	63822	33467
656	63916	33369
657	64001	33265
658	64071	33153
659	64151	33047
660	64223	32937
661	64303	32831
662	64380	32724
663	64452	32614
664	64528	32507
665	64608	32401
666	64685	32294
667	64724	32168
668	64802	32062
669	64891	31961
670	64966	31854
671	65046	31749
672	65123	31642
673	65213	31542
674	65292	31437
675	65363	31327
676	65442	31223
677	65530	31121
678	65607	31016
679	65697	30916
680	65786	30816
681	65871	30714
682	65948	30608
683	66032	30506
684	66114	30403
685	66193	30298
686	66270	30193
687	66353	30090
688	66438	29989
689	66519	29885
690	66608	29785
691	66691	29683
692	66780	29583
693	66849	29475
694	66935	29374
695	67007	29267
696	67083	29162
697	67152	29054
698	67237	28953
699	67326	28854
700	67406	28751
701	67441	28629
702	67521	28526
703	67619	28430
704	67694	28326
705	67788	28229
706	67872	28128
707	67991	28041
708	68107	27953
709	68220	27864
710	68372	27791
711	68513	27713
712	68657	27636
713	68717	27525
714	68852	27444
715	68987	27363
716	69128	27285
717	69282	27211
718	69444	27140
719	69598	27065
720	69725	26981
721	69874	26904
722	70034	26831
723	70196	26760
724	70335	26678
725	70501	26607
726	70628	26522
727	70795	26451
728	70933	26369
729	71083	26291
730	71221	26208
731	71376	26132
732	71511	26048
733	71580	25940
734	71655	25835
735	71738	25732
736	71828	25632
737	71904	25527
738	71997	25427
739	72081	25326
740	72160	25222
741	72243	25119
742	72316	25013
743	72392	24909
744	72475	24807
745	72558	24704
746	72623	24596
747	72715	24497
748	72799	24396
749	72889	24296
750	72987	24199
751	73068	24097
752	73149	23994
753	73226	23890
754	73261	23773
755	73340	23670
756	73397	23560
757	73430	23443
758	73514	23342
759	73581	23236
760	73660	23133
761	73693	23017
762	73760	22911
763	73823	22804
764	73877	22694
765	73974	22597
766	74063	22499
767	74153	22400
768	74239	22300
769	74319	22199
770	74393	22096
771	74468	21993
772	74539	21889
773	74615	21786
774	74701	21687
775	74760	21580
776	74852	21482
777	74933	21382
778	75025	21284
779	75127	21189
780	75201	21087
781	75279	20985
782	75371	20888
783	75425	20780
784	75511	20681
785	75585	20579
786	75668	20479
787	75751	20379
788	75831	20279
789	75914	20179
790	75982	20076
791	76079	19980
792	76167	19882
793	76259	19785
794	76317	19679
795	76405	19581
796	76497	19484
797	76582	19385
798	76664	19286
799	76739	19184
800	76823	19085
801	76904	18986
802	76985	18886
803	77079	18790
804	77172	18694
805	77256	18595
806	77344	18497
807	77423	18397
808	77479	18292
809	77563	18193
810	77643	18094
811	77729	17996
812	77800	17895
813	77884	17796
814	77968	17698
815	78046	17598
816	78145	17503
817	78221	17403
818	78304	17305
819	78376	17204
820	78453	17104
821	78535	17006
822	78570	16897
823	78653	16799
824	78739	16702
825	78797	16599
826	78874	16499
827	78957	16401
828	79039	16303
829	79116	16204
830	79191	16105
831	79265	16005
832	79321	15902
833	79405	15804
834	79472	15704
835	79508	15597
836	79581	15498
837	79658	15399
838	79757	15305
839	79842	15208
840	79916	15109
841	79993	15010
842	80077	14913
843	80174	14818
844	80260	14722
845	80340	14624
846	80426	14528
847	80508	14430
848	80577	14331
849	80657	14233
850	80734	14135
851	80805	14036
852	80861	13935
853	80943	13838
854	81027	13741
855	81100	13643
856	81193	13548
857	81273	13450
858	81329	13349
859	81398	13250
860	81502	13157
861	81623	13067
862	81774	12981
863	81909	12893
864	82061	12807
865	82226	12723
866	82352	12633
867	82493	12545
868	82645	12458
869	82805	12373
870	82972	12288
871	83131	12202
872	83261	12112
873	83415	12025
874	83578	11939
875	83736	11853
876	83871	11763
877	84036	11677
878	84142	11582
879	84301	11495
880	84473	11410
881	84639	11323
882	84797	11235
883	84963	11149
884	85075	11055
885	85181	10960
886	85265	10862
887	85365	10766
888	85450	10669
889	85528	10570
890	85617	10473
891	85691	10375
892	85772	10277
893	85866	10181
894	85954	10084
895	86028	9985
896	86099	9886
897	86186	9789
898	86258	9690
899	86350	9594
900	86443	9498
901	86529	9401
902	86615	9304
903	86702	9207
904	86785	9110
905	86872	9013
906	86968	8917
907	87051	8820
908	87135	8723
909	87208	8625
910	87296	8528
911	87365	8429
912	87473	8335
913	87549	8237
914	87631	8140
915	87711	8043
916	87792	7946
917	87875	7849
918	87957	7752
919	88038	7655
920	88123	7558
921	88202	7461
922	88282	7364
923	88372	7268
924	88470	7173
925	88553	7076
926	88629	6979
927	88726	6883
928	88814	6787
929	88888	6690
930	88959	6593
931	89036	6496
932	89130	6400
933	89225	6305
934	89334	6210
935	89428	6114
936	89514	6018
937	89602	5922
938	89692	5826
939	89781	5730
940	89869	5634
941	89950	5538
942	90015	5441
943	90114	5345
944	90205	5250
945	90285	5153
946	90352	5056
947	90436	4960
948	90539	4865
949	90633	4770
950	90710	4673
951	90776	4576
952	90863	4481
953	90945	4385
954	91018	4288
955	91108	4193
956	91193	4097
957	91277	4001
958	91359	3905
959	91449	3810
960	91529	3714
961	91616	3618
962	91692	3522
963	91778	3427
964	91857	3331
965	91947	3236
966	92007	3139
967	92096	3044
968	92154	2948
969	92233	2852
970	92312	2757
971	92395	2661
972	92484	2566
973	92583	2471
974	92675	2376
975	92752	2280
976	92830	2185
977	92913	2090
978	92992	1994
979	93078	1899
980	93165	1804
981	93244	1709
982	93302	1613
983	93379	1518
984	93459	1423
985	93555	1328
986	93641	1233
987	93724	1138
988	93796	1043
989	93863	948
990	93948	853
991	94032	758
992	94112	663
993	94193	568
994	94254	473
995	94335	378
996	94418	284
997	94496	189
998	94590	94
999	94681	0
